path,filename,video_id,ok_read,sample_rate,channels,duration_s,rms_dbfs,peak_dbfs,silence_ratio,clipping_ratio,keep_auto,reason
data\interim\segmented\spasmodic_dysphonia\0eDJFB70peE_seg_000.wav,0eDJFB70peE_seg_000.wav,0eDJFB70peE,True,16000,1,3.0,-26.8541,-4.1275,0.416,0.0,True,ok
data\interim\segmented\spasmodic_dysphonia\0eDJFB70peE_seg_001.wav,0eDJFB70peE_seg_001.wav,0eDJFB70peE,True,16000,1,3.0,-30.1681,-5.0334,0.6523,0.0,True,ok
data\interim\segmented\spasmodic_dysphonia\0eDJFB70peE_seg_002.wav,0eDJFB70peE_seg_002.wav,0eDJFB70peE,True,16000,1,3.0,-31.666,-8.5165,0.7354,0.0,True,ok
data\interim\segmented\spasmodic_dysphonia\0eDJFB70peE_seg_003.wav,0eDJFB70peE_seg_003.wav,0eDJFB70peE,True,16000,1,3.0,-30.5784,-3.9816,0.6743,0.0,True,ok
data\interim\segmented\spasmodic_dysphonia\0eDJFB70peE_seg_004.wav,0eDJFB70peE_seg_004.wav,0eDJFB70peE,True,16000,1,3.0,-29.1414,-6.7444,0.5099,0.0,True,ok
data\interim\segmented\spasmodic_dysphonia\0eDJFB70peE_seg_005.wav,0eDJFB70peE_seg_005.wav,0eDJFB70peE,True,16000,1,3.0,-38.0116,-13.5345,0.8199,0.0,False,mostly_silence:0.82
data\interim\segmented\spasmodic_dysphonia\0eDJFB70peE_seg_006.wav,0eDJFB70peE_seg_006.wav,0eDJFB70peE,True,16000,1,3.0,-28.0379,-0.1735,0.5556,0.0,True,ok
data\interim\segmented\spasmodic_dysphonia\0eDJFB70peE_seg_007.wav,0eDJFB70peE_seg_007.wav,0eDJFB70peE,True,16000,1,3.0,-26.0686,-4.6285,0.3678,0.0,True,ok
data\interim\segmented\spasmodic_dysphonia\0eDJFB70peE_seg_008.wav,0eDJFB70peE_seg_008.wav,0eDJFB70peE,True,16000,1,3.0,-39.5771,-6.8511,0.9312,0.0,False,mostly_silence:0.93
data\interim\segmented\spasmodic_dysphonia\0eDJFB70peE_seg_009.wav,0eDJFB70peE_seg_009.wav,0eDJFB70peE,True,16000,1,3.0,-32.717,-9.4457,0.6102,0.0,True,ok
data\interim\segmented\spasmodic_dysphonia\0eDJFB70peE_seg_010.wav,0eDJFB70peE_seg_010.wav,0eDJFB70peE,True,16000,1,3.0,-35.2321,-10.8206,0.7398,0.0,True,ok
data\interim\segmented\spasmodic_dysphonia\0eDJFB70peE_seg_011.wav,0eDJFB70peE_seg_011.wav,0eDJFB70peE,True,16000,1,3.0,-57.8993,-35.2988,0.9955,0.0,False,too_quiet:-57.9dBFS;mostly_silence:1.00
data\interim\segmented\spasmodic_dysphonia\0eDJFB70peE_seg_012.wav,0eDJFB70peE_seg_012.wav,0eDJFB70peE,True,16000,1,3.0,-33.9195,-2.9749,0.6967,0.0,True,ok
data\interim\segmented\spasmodic_dysphonia\0eDJFB70peE_seg_013.wav,0eDJFB70peE_seg_013.wav,0eDJFB70peE,True,16000,1,3.0,-37.8963,-10.8742,0.8441,0.0,False,mostly_silence:0.84
data\interim\segmented\spasmodic_dysphonia\0eDJFB70peE_seg_014.wav,0eDJFB70peE_seg_014.wav,0eDJFB70peE,True,16000,1,3.0,-31.6537,-7.8693,0.7019,0.0,True,ok
data\interim\segmented\spasmodic_dysphonia\0eDJFB70peE_seg_015.wav,0eDJFB70peE_seg_015.wav,0eDJFB70peE,True,16000,1,3.0,-44.2725,-18.8748,0.9204,0.0,False,mostly_silence:0.92
data\interim\segmented\spasmodic_dysphonia\0eDJFB70peE_seg_016.wav,0eDJFB70peE_seg_016.wav,0eDJFB70peE,True,16000,1,3.0,-32.3701,-9.3955,0.585,0.0,True,ok
data\interim\segmented\spasmodic_dysphonia\0eDJFB70peE_seg_017.wav,0eDJFB70peE_seg_017.wav,0eDJFB70peE,True,16000,1,3.0,-32.1594,-9.5605,0.6587,0.0,True,ok
data\interim\segmented\spasmodic_dysphonia\0eDJFB70peE_seg_018.wav,0eDJFB70peE_seg_018.wav,0eDJFB70peE,True,16000,1,3.0,-34.0015,-5.4453,0.815,0.0,False,mostly_silence:0.81
data\interim\segmented\spasmodic_dysphonia\0eDJFB70peE_seg_019.wav,0eDJFB70peE_seg_019.wav,0eDJFB70peE,True,16000,1,3.0,-36.5975,-6.4443,0.8817,0.0,False,mostly_silence:0.88
data\interim\segmented\spasmodic_dysphonia\0eDJFB70peE_seg_020.wav,0eDJFB70peE_seg_020.wav,0eDJFB70peE,True,16000,1,3.0,-45.5136,-16.6571,0.9833,0.0,False,mostly_silence:0.98
data\interim\segmented\spasmodic_dysphonia\0eDJFB70peE_seg_021.wav,0eDJFB70peE_seg_021.wav,0eDJFB70peE,True,16000,1,3.0,-60.4709,-41.6817,0.9998,0.0,False,too_quiet:-60.5dBFS;mostly_silence:1.00
data\interim\segmented\spasmodic_dysphonia\0eDJFB70peE_seg_022.wav,0eDJFB70peE_seg_022.wav,0eDJFB70peE,True,16000,1,3.0,-59.1642,-36.9041,0.9983,0.0,False,too_quiet:-59.2dBFS;mostly_silence:1.00
data\interim\segmented\spasmodic_dysphonia\0eDJFB70peE_seg_023.wav,0eDJFB70peE_seg_023.wav,0eDJFB70peE,True,16000,1,3.0,-56.8607,-38.5548,0.9965,0.0,False,too_quiet:-56.9dBFS;mostly_silence:1.00
data\interim\segmented\spasmodic_dysphonia\0eDJFB70peE_seg_024.wav,0eDJFB70peE_seg_024.wav,0eDJFB70peE,True,16000,1,3.0,-61.182,-46.4465,1.0,0.0,False,too_quiet:-61.2dBFS;mostly_silence:1.00
data\interim\segmented\spasmodic_dysphonia\0eDJFB70peE_seg_025.wav,0eDJFB70peE_seg_025.wav,0eDJFB70peE,True,16000,1,3.0,-45.8942,-18.2787,0.9735,0.0,False,mostly_silence:0.97
data\interim\segmented\spasmodic_dysphonia\0eDJFB70peE_seg_026.wav,0eDJFB70peE_seg_026.wav,0eDJFB70peE,True,16000,1,3.0,-63.135,-49.3246,1.0,0.0,False,too_quiet:-63.1dBFS;mostly_silence:1.00
data\interim\segmented\spasmodic_dysphonia\0eDJFB70peE_seg_027.wav,0eDJFB70peE_seg_027.wav,0eDJFB70peE,True,16000,1,3.0,-60.5763,-42.1103,0.9997,0.0,False,too_quiet:-60.6dBFS;mostly_silence:1.00
