video_id,split,segment_count
0eDJFB70peE,train,13
1gqAGauWj4U,train,116
1xoBQiIrWRU,test,49
4Nmd8u5sXGw,train,21
55qJ3dI1kDI,train,43
84fz-E-ZphY,train,27
9CX2xcq1P9A,train,24
EGTvMFLjJxg,train,32
G4EAQfQ9qb4,train,14
GYuVGKtNUfg,train,43
G_-Y87hhuYk,train,54
H1ZwDVx0WTY,train,89
H6qBrb2fkDU,train,93
Hpbo6QD01_I,train,132
HzThFtf2At4,train,19
IBwFTEmk1Sw,train,57
KCiiYb5sesY,train,98
Kxm-QspPf28,train,102
MLhE5_GcLbw,train,19
N0Sbo2g8iVs,train,46
NoNFIQGDkEM,test,27
OXS_KK1MeRk,train,23
RwScK54s9Ys,train,72
SqzfsKMaLqk,train,78
ZyxthRDykx0,test,37
cWMQSoEqCl0,train,64
fc4oF-q1SXg,train,286
g6oef19xr38,train,48
gdHAkgFHWpQ,train,80
k6rQPJ8uZfE,test,112
kLlHVBwxGGg,test,113
n8NqvTvhf_k,train,74
nIqc5Oj4grM,test,98
niRsTERVEEQ,train,21
prjvqTJpQE4,test,34
s5j1RbYLwQY,test,26
t1nAJvgf_Ls,train,30
y3CpA15UtBQ,train,113
yMSkzVjc-Lg,train,51
