path,filename,video_id,ok_read,sample_rate,channels,duration_s,rms_dbfs,peak_dbfs,silence_ratio,clipping_ratio,keep_auto,reason
data\interim\segmented\stuttering\0wEoXWnHJjs_seg_000.wav,0wEoXWnHJjs_seg_000.wav,0wEoXWnHJjs,True,16000,1,3.0,-25.9398,-9.6301,0.3569,0.0,True,ok
data\interim\segmented\stuttering\0wEoXWnHJjs_seg_001.wav,0wEoXWnHJjs_seg_001.wav,0wEoXWnHJjs,True,16000,1,3.0,-27.6608,-9.7661,0.4615,0.0,True,ok
data\interim\segmented\stuttering\0wEoXWnHJjs_seg_002.wav,0wEoXWnHJjs_seg_002.wav,0wEoXWnHJjs,True,16000,1,3.0,-38.0138,-11.0749,0.812,0.0,False,mostly_silence:0.81
data\interim\segmented\stuttering\0wEoXWnHJjs_seg_003.wav,0wEoXWnHJjs_seg_003.wav,0wEoXWnHJjs,True,16000,1,3.0,-26.3615,-8.5797,0.4345,0.0,True,ok
data\interim\segmented\stuttering\0wEoXWnHJjs_seg_004.wav,0wEoXWnHJjs_seg_004.wav,0wEoXWnHJjs,True,16000,1,3.0,-27.3564,-9.95,0.4631,0.0,True,ok
data\interim\segmented\stuttering\0wEoXWnHJjs_seg_005.wav,0wEoXWnHJjs_seg_005.wav,0wEoXWnHJjs,True,16000,1,3.0,-27.3241,-8.3645,0.4656,0.0,True,ok
data\interim\segmented\stuttering\0wEoXWnHJjs_seg_006.wav,0wEoXWnHJjs_seg_006.wav,0wEoXWnHJjs,True,16000,1,3.0,-25.5237,-8.6332,0.3144,0.0,True,ok
data\interim\segmented\stuttering\0wEoXWnHJjs_seg_007.wav,0wEoXWnHJjs_seg_007.wav,0wEoXWnHJjs,True,16000,1,3.0,-26.8174,-10.1848,0.3471,0.0,True,ok
data\interim\segmented\stuttering\0wEoXWnHJjs_seg_008.wav,0wEoXWnHJjs_seg_008.wav,0wEoXWnHJjs,True,16000,1,3.0,-27.2494,-7.3691,0.5933,0.0,True,ok
data\interim\segmented\stuttering\0wEoXWnHJjs_seg_009.wav,0wEoXWnHJjs_seg_009.wav,0wEoXWnHJjs,True,16000,1,3.0,-25.0082,-9.2313,0.402,0.0,True,ok
