video_id,split,segment_count
0wEoXWnHJjs,train,132
2mVwQPdoIxM,train,128
3Rz18q3p-zY,train,7
7066910146110393646,train,33
7097605874394385670,train,35
7189742740425542955,test,50
7334481576874577154,train,56
7348194719043734785,train,37
7509547240784989482,train,6
7511014266175114538,test,25
7518094567300730167,train,22
7583132378218958093,train,32
7592299166060055839,train,26
7605234960105999647,test,18
AdgBK2_WQK0,train,151
ApCK9R-i4yk,train,136
DWAXvYezKIA,train,103
MR4RrTTciMw,test,103
QHkIE3BEOM8,train,4
ZezBWDaHm6g,train,15
ZwkIg76xzRE,test,17
aLyQSecljI0,train,109
k8T4dkAcP5g,train,124
lfXIK2_34dM,test,97
lpodlly12uM,train,20
nrnXoReoDek,train,46
rbJHSQVW9dI,train,56
sZwq9VaEtAk,train,149
t8jvL4ZQkH0,train,5
yXI6KMtociI,test,48
