filepath,label
data\processed\final\dysarthria\0qiqrQepMeQ_seg_000.wav,dysarthria
data\processed\final\dysarthria\0qiqrQepMeQ_seg_001.wav,dysarthria
data\processed\final\dysarthria\0qiqrQepMeQ_seg_004.wav,dysarthria
data\processed\final\dysarthria\0qiqrQepMeQ_seg_005.wav,dysarthria
data\processed\final\dysarthria\0qiqrQepMeQ_seg_012.wav,dysarthria
data\processed\final\dysarthria\7313271087997930795_seg_000.wav,dysarthria
data\processed\final\dysarthria\7313271087997930795_seg_001.wav,dysarthria
data\processed\final\dysarthria\7313271087997930795_seg_001__too_quiet.wav,dysarthria
data\processed\final\dysarthria\7313271087997930795_seg_002.wav,dysarthria
data\processed\final\dysarthria\7313271087997930795_seg_002__too_quiet.wav,dysarthria
data\processed\final\dysarthria\7313271087997930795_seg_003.wav,dysarthria
data\processed\final\dysarthria\7313271087997930795_seg_004.wav,dysarthria
data\processed\final\dysarthria\7313271087997930795_seg_005.wav,dysarthria
data\processed\final\dysarthria\7313271087997930795_seg_005__too_quiet.wav,dysarthria
data\processed\final\dysarthria\7313271087997930795_seg_007.wav,dysarthria
data\processed\final\dysarthria\7313271087997930795_seg_008.wav,dysarthria
data\processed\final\dysarthria\7313271087997930795_seg_009.wav,dysarthria
data\processed\final\dysarthria\7313271087997930795_seg_009__too_quiet.wav,dysarthria
data\processed\final\dysarthria\7313271087997930795_seg_010.wav,dysarthria
data\processed\final\dysarthria\7313271087997930795_seg_010__too_quiet.wav,dysarthria
data\processed\final\dysarthria\7313271087997930795_seg_011.wav,dysarthria
data\processed\final\dysarthria\7313271087997930795_seg_012.wav,dysarthria
data\processed\final\dysarthria\7313271087997930795_seg_012__too_quiet.wav,dysarthria
data\processed\final\dysarthria\7313271087997930795_seg_014.wav,dysarthria
data\processed\final\dysarthria\7313271087997930795_seg_015.wav,dysarthria
data\processed\final\dysarthria\7313271087997930795_seg_015__too_quiet.wav,dysarthria
data\processed\final\dysarthria\7313271087997930795_seg_016.wav,dysarthria
data\processed\final\dysarthria\7313271087997930795_seg_017.wav,dysarthria
data\processed\final\dysarthria\7313271087997930795_seg_017__too_quiet.wav,dysarthria
data\processed\final\dysarthria\7313271087997930795_seg_018.wav,dysarthria
data\processed\final\dysarthria\7313271087997930795_seg_018__too_quiet.wav,dysarthria
data\processed\final\dysarthria\7313271087997930795_seg_019.wav,dysarthria
data\processed\final\dysarthria\7313271087997930795_seg_020.wav,dysarthria
data\processed\final\dysarthria\7313271087997930795_seg_021.wav,dysarthria
data\processed\final\dysarthria\7313271087997930795_seg_021__too_quiet.wav,dysarthria
data\processed\final\dysarthria\7313271087997930795_seg_022.wav,dysarthria
