filepath,label,video_id
data\processed\final\dysarthria\0qiqrQepMeQ_seg_000.wav,dysarthria,0qiqrQepMeQ
data\processed\final\dysarthria\0qiqrQepMeQ_seg_001.wav,dysarthria,0qiqrQepMeQ
data\processed\final\dysarthria\0qiqrQepMeQ_seg_004.wav,dysarthria,0qiqrQepMeQ
data\processed\final\dysarthria\0qiqrQepMeQ_seg_005.wav,dysarthria,0qiqrQepMeQ
data\processed\final\dysarthria\0qiqrQepMeQ_seg_012.wav,dysarthria,0qiqrQepMeQ
data\processed\final\dysarthria\7313271087997930795_seg_000.wav,dysarthria,7313271087997930795
data\processed\final\dysarthria\7313271087997930795_seg_001.wav,dysarthria,7313271087997930795
data\processed\final\dysarthria\7313271087997930795_seg_001__too_quiet.wav,dysarthria,7313271087997930795
data\processed\final\dysarthria\7313271087997930795_seg_002.wav,dysarthria,7313271087997930795
data\processed\final\dysarthria\7313271087997930795_seg_002__too_quiet.wav,dysarthria,7313271087997930795
data\processed\final\dysarthria\7313271087997930795_seg_003.wav,dysarthria,7313271087997930795
data\processed\final\dysarthria\7313271087997930795_seg_004.wav,dysarthria,7313271087997930795
data\processed\final\dysarthria\7313271087997930795_seg_005.wav,dysarthria,7313271087997930795
data\processed\final\dysarthria\7313271087997930795_seg_005__too_quiet.wav,dysarthria,7313271087997930795
data\processed\final\dysarthria\7313271087997930795_seg_007.wav,dysarthria,7313271087997930795
data\processed\final\dysarthria\7313271087997930795_seg_008.wav,dysarthria,7313271087997930795
data\processed\final\dysarthria\7313271087997930795_seg_009.wav,dysarthria,7313271087997930795
data\processed\final\dysarthria\7313271087997930795_seg_009__too_quiet.wav,dysarthria,7313271087997930795
data\processed\final\dysarthria\7313271087997930795_seg_010.wav,dysarthria,7313271087997930795
data\processed\final\dysarthria\7313271087997930795_seg_010__too_quiet.wav,dysarthria,7313271087997930795
data\processed\final\dysarthria\7313271087997930795_seg_011.wav,dysarthria,7313271087997930795
data\processed\final\dysarthria\7313271087997930795_seg_012.wav,dysarthria,7313271087997930795
data\processed\final\dysarthria\7313271087997930795_seg_012__too_quiet.wav,dysarthria,7313271087997930795
data\processed\final\dysarthria\7313271087997930795_seg_014.wav,dysarthria,7313271087997930795
data\processed\final\dysarthria\7313271087997930795_seg_015.wav,dysarthria,7313271087997930795
data\processed\final\dysarthria\7313271087997930795_seg_015__too_quiet.wav,dysarthria,7313271087997930795
data\processed\final\dysarthria\7313271087997930795_seg_016.wav,dysarthria,7313271087997930795
data\processed\final\dysarthria\7313271087997930795_seg_017.wav,dysarthria,7313271087997930795
data\processed\final\dysarthria\7313271087997930795_seg_017__too_quiet.wav,dysarthria,7313271087997930795
data\processed\final\dysarthria\7313271087997930795_seg_018.wav,dysarthria,7313271087997930795
data\processed\final\dysarthria\7313271087997930795_seg_018__too_quiet.wav,dysarthria,7313271087997930795
data\processed\final\dysarthria\7313271087997930795_seg_019.wav,dysarthria,7313271087997930795
data\processed\final\dysarthria\7313271087997930795_seg_020.wav,dysarthria,7313271087997930795
data\processed\final\dysarthria\7313271087997930795_seg_021.wav,dysarthria,7313271087997930795
data\processed\final\dysarthria\7313271087997930795_seg_021__too_quiet.wav,dysarthria,7313271087997930795
data\processed\final\dysarthria\7313271087997930795_seg_022.wav,dysarthria,7313271087997930795
data\processed\final\dysarthria\7313271087997930795_seg_022__too_quiet.wav,dysarthria,7313271087997930795
data\processed\final\dysarthria\7313271087997930795_seg_023.wav,dysarthria,7313271087997930795
data\processed\final\dysarthria\7313271087997930795_seg_024.wav,dysarthria,7313271087997930795
data\processed\final\dysarthria\7313271087997930795_seg_025.wav,dysarthria,7313271087997930795
data\processed\final\dysarthria\7313271087997930795_seg_025__too_quiet.wav,dysarthria,7313271087997930795
data\processed\final\dysarthria\7313271087997930795_seg_026.wav,dysarthria,7313271087997930795
data\processed\final\dysarthria\7313271087997930795_seg_027.wav,dysarthria,7313271087997930795
data\processed\final\dysarthria\7313775349651868971_seg_000.wav,dysarthria,7313775349651868971
data\processed\final\dysarthria\7313775349651868971_seg_001.wav,dysarthria,7313775349651868971
